Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,Column 1,Column 2
12/24/2025,006700-25PA,Building & Land Use Pre-Application,In Process,5149   S  GRAHAM  ST   SEATTLE,Graham Hill ES - AV Security Upgrades,"Install card readers and electric locks on non-egress sides of doors in institutional building (Graham Hill ES), subject to field inspection (STFI)",,,
12/24/2025,006701-25PA,Building & Land Use Pre-Application,In Process,2401   S  IRVING  ST   SEATTLE,Thurgood Marshall ES - AV Security Upgrades,"Install card readers and electric locks on non-egress sides of doors in institutional building (Thurgood Marhsall ES), subject to field inspection (STFI)",,,
12/24/2025,006699-25PA,Building & Land Use Pre-Application,In Process,2820   S  ORCAS  ST   SEATTLE,Dearborn Park ES - AV Security Upgrades,"Install card readers and electric locks on non-egress sides of doors in institutional building (Dearborn Park ES), subject to field inspection (STFI)",,,
12/24/2025,006702-25PA,Building & Land Use Pre-Application,In Process,8601    RAINIER  AVE  S  SEATTLE,Alan T Sugiyama HS - AV Security Upgrades,"Install card readers and electric locks on non-egress sides of doors in institiutional building (Alan T Sugiyama HS), subject to field inspection (STFI)",,,
12/24/2025,006698-25PA,Building & Land Use Pre-Application,Initiated,600    STEWART  ST   SEATTLE,Emery-Reddy Ofiice,"Removal of non?structural demising walls, installation of new cabinetry, and replacement of existing flooring. Work area is around 700 SF",,,
12/23/2025,006677-25PA,Building & Land Use Pre-Application,In Process,3239   NE  91ST  ST   SEATTLE,,"Remove existing structure, construct 3 new SFRs",,,
12/23/2025,006689-25PA,Building & Land Use Pre-Application,In Process,3819    33RD  AVE  W  SEATTLE,Legacy 33rd,"Construction of four single family residences, demo of existing home.",,,
12/23/2025,006694-25PA,Building & Land Use Pre-Application,In Process,3921   SW  BARTON  ST   SEATTLE,Retainment wall rebuild,"Parcel #3524039218 borders  a landslide, flood and ECA area; has a failing retainment wall made of creosote ties.  The existing retainment wall is compromised,  resulting in  erosion of our back yard.  We are removing the creosote ties and rebuilding the retainment wall with sustainable material that  will not exceed 4 feet in height.",,,
12/23/2025,006693-25PA,Building & Land Use Pre-Application,In Process,7757    30TH  AVE  S  SEATTLE,Chu-Huang Residence + AADU,"application for construction permit for new single-family home + AADU and 1-car garage, on a NR-3 zoned site which currently has one existing single-family house to remain.",,,
12/23/2025,006684-25PA,Building & Land Use Pre-Application,In Process,3712    MAGNOLIA  BLVD  W  SEATTLE,,2 lot boundary adjustment,,,
12/23/2025,006685-25PA,Building & Land Use Pre-Application,Initiated,3920    OKANOGAN  LN  NE  SEATTLE,UW WSHP 5T Chilled Water System,Adding a cooling system to cool UW - IT Router Room,,,
12/23/2025,006678-25PA,Building & Land Use Pre-Application,In Process,2640    23rd  AVE  W,chen addition,we would like to demo existing garages and build 2 townhouses where the garages are located,,,
12/23/2025,006688-25PA,Building & Land Use Pre-Application,In Process,12017    10TH  AVE  NW,WW 10TH AVE HOMES,Demolish existing residence and site improvements.Construct four new primary residences and site improvements.,,,
12/22/2025,006661-25PA,Building & Land Use Pre-Application,In Process,8826    24th  AVE  SW,Shed STFI,Construction of a new 385sf single story storage shed. No water or sewer connections,,,
12/22/2025,006674-25PA,Building & Land Use Pre-Application,In Process,9041    7TH  AVE  NW  SEATTLE,Shypila Residence,Construction of a second detached dwelling unit on a lot with an existing single-family house. Existing detached garage to be demolished.,,,
12/22/2025,006660-25PA,Building & Land Use Pre-Application,In Process,1208   NW  77TH  ST   SEATTLE,The Middle,Demolish existing house and construct new SFR and AADU.,,,
12/22/2025,006669-25PA,Building & Land Use Pre-Application,Initiated,2611    39TH  AVE  SW  SEATTLE,Mangan-Andres Dormer addition,"Modify and existing second floor plan to add shed dormer space, with associated renovations, per plan.",,,
12/22/2025,006653-25PA,Building & Land Use Pre-Application,In Process,2822   NW  92nd  ST,,"DEMOLISH EXISTING SFR, ANDCONSTRUCT TWO NEW SFR'S AND TWO NEW DUPLEX'S, WITHPARKING PER PLAN. Future ULS",,,
12/22/2025,006654-25PA,Building & Land Use Pre-Application,In Process,6021    48TH  AVE  SW  SEATTLE,,CONSTRUCT  (1) DUPLEX WITH (4) OPEN PARKING STALLS.  EXISTING SFR & ADU TO REMAIN,,,
12/22/2025,006658-25PA,Building & Land Use Pre-Application,In Process,13741    37TH  AVE  NE  SEATTLE,,Build a new SFR2 and SFR3. Existing SFR to remain unaltered.,,,
12/22/2025,006652-25PA,Building & Land Use Pre-Application,In Process,3505    DENSMORE  AVE  N  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEX'S WITH PARKING PER PLAN. Future ULS",,,
12/22/2025,006662-25PA,Building & Land Use Pre-Application,In Process,13012    37TH  AVE  NE  SEATTLE,Ricardo ADU,We're proposing to build two ADU in a residential lot.,,,
12/22/2025,006665-25PA,Building & Land Use Pre-Application,In Process,431   SW  thistle  ST,Thistle Development,CONSTRUCT FOUR (4) NEW UNITS ON PARCEL 'Y' OF LBA #3043410-LU & CONSTRUCT FOUR (4) NEW UNITS ON PARCEL 'Z' OF LBA #3043410-LU. EACH PARCEL WILL BE DESIGNED UNDER ONE (1) CONSTRUCTION PERMIT. OCCUPY PER PLANS. SURFACE & GARAGE PARKING PROVIDED PER PLAN. EXISTING HOUSE ON PARCEL 'X' OF LBA #3043410-LU TO REMAIN.,,,
12/22/2025,006655-25PA,Building & Land Use Pre-Application,In Process,1400    8TH  AVE  W  SEATTLE,,"KEEP EXISTING SFR, AND CONSTRUCTONE NEW SFR, WITH PARKING PER PLAN.",,,
12/22/2025,006659-25PA,Building & Land Use Pre-Application,In Process,12534    NORTH PARK  AVE  N  SEATTLE,,Build (2) new SFRs. Existing SFR to remain unaltered,,,
12/22/2025,006663-25PA,Building & Land Use Pre-Application,Initiated,4058    36th  AVE  SW,4058 STFI,SHRINKING PORTION OF EXISTING SFR. REMOVING EXISTING FRONT PORCH AND BUILDING NEW FRONT PORCH.,,,
12/22/2025,006664-25PA,Building & Land Use Pre-Application,Initiated,9101    30th  AVE  NE,9101 construction STFI,"Replacement of existing lighting fixtures (12 total). Replaced existing ductless mini-split system (2 indoor heads, 1 outdoor condenser) The work has already been done. We received RESIDENTIAL CODE NOTICE OF VIOLATION CASE NO. 1062120-VI so would like to obtain the proper permits.",,,
12/21/2025,006646-25PA,Building & Land Use Pre-Application,Additional Info Requested,1635   SW  AUSTIN  ST   SEATTLE,,CONSTRUCT (4) THREE LEVEL WOOD FRAME TOWNHOUSE,,,
